Shipment_ID,Origin_City,Destination_City,Carrier,Transport_Mode,Distance_KM,Weight_KG,Delivery_Time_Days,Shipping_Cost_INR,On_Time
SHIP100353,Hyderabad,Bangalore,XpressBees,Air,340.6,272.03,2.46,6166.94,Yes
SHIP100008,Chennai,PUNE,XpressBees,Road,340.3,82.9,4.63,3764.54,Yes
SHIP100156,Mumbai,bangalore,BlueDart,Road,750.6,169.84,6.34,8899.57,Yes
SHIP100027,Pune,Delhi,BlueDart,Rail,395.6,50.94,4.93,4687.83,Yes
SHIP100266,Mumbai,Hyderabad,BlueDart,Rail,159.3,48.6,2.77,2267.22,Yes
SHIP100064,mumbai,bangalore,BlueDart,AIR,714.8,247.92,8.29,10113.43,Yes
SHIP100255,Pune,Bangalore,Delhivery,Air,399.4,150.37,6.32,5411.02,Yes
SHIP100318,Chennai,Mumbai,Delhivery,Road,462.2,132.89,6.21,6567.39,Yes
SHIP100153,Chennai,Pune,BlueDart,Air,296.9,63.12,35.99,3743.72,No
SHIP100048,bangalore,Delhi,DTDC,Road,183.8,64.2,3.34,2247.08,Yes
SHIP100208,Kolkata,mumbai,XpressBees,Road,265.6,124.82,,3853.78,Yes
SHIP100287,Delhi,Pune,XpressBees,road,820.3,57.69,8.17,7549.91,Yes
SHIP100001,PUNE,Mumbai,Ekart,AIR,597.2,113.59,6.14,7117.3,Yes
SHIP100269,Delhi,Mumbai,DTDC,Air,304.2,67.36,2.75,4003.8,Yes
SHIP100265,PUNE,Hyderabad,Delhivery,Air,443.6,155.6,4.77,6544.43,Yes
SHIP100327,Chennai,Chennai,Delhivery,road,526.2,127.14,7.19,5767.31,Yes
SHIP100334,Kolkata,Delhi,XpressBees,Road,258.8,56.37,4.41,2646.37,Yes
SHIP100095,Kolkata,Hyderabad,Delhivery,Rail,313.8,157.89,4.52,4487.14,Yes
SHIP100464,Kolkata,Mumbai,Ekart,road,316.4,,4.27,4042.61,Yes
SHIP100492,Chennai,Bangalore,DTDC,Road,322.5,53.37,5.52,3406.03,Yes
SHIP100439,Chennai,bangalore,XpressBees,AIR,630.2,197.36,7.1,9030.02,Yes
SHIP100116,Kolkata,Kolkata,DTDC,Road,820.1,25.6,8.09,7640.45,Yes
SHIP100045,Delhi,mumbai,DTDC,Rail,20.0,23.02,2.82,468.56,Yes
SHIP100161,Chennai,Bangalore,Delhivery,Rail,340.2,43.87,4.42,2946.92,Yes
SHIP100386,Delhi,bangalore,DTDC,Air,269.9,54.86,2.08,,Yes
SHIP100117,bangalore,mumbai,DTDC,AIR,251.4,7.0,2.05,1976.92,Yes
SHIP100288,Mumbai,bangalore,BlueDart,road,453.7,143.39,5.69,6497.95,Yes
SHIP100077,Hyderabad,Pune,XpressBees,road,731.1,128.16,8.71,8478.71,Yes
SHIP100413,Mumbai,Chennai,DTDC,Road,560.8,66.38,5.39,5436.82,Yes
SHIP100063,Kolkata,Bangalore,BlueDart,Road,159.6,61.06,1.96,2345.85,Yes
SHIP100394,Kolkata,Hyderabad,BlueDart,Air,523.8,15.38,5.91,4513.02,Yes
SHIP100390,Hyderabad,mumbai,BlueDart,Road,513.1,54.61,5.09,4393.52,Yes
SHIP100230,PUNE,Delhi,BlueDart,Rail,445.0,95.7,4.5,4782.09,Yes
SHIP100297,Bangalore,Kolkata,DTDC,Road,742.4,100.63,6.24,7547.2,Yes
SHIP100186,Delhi,Bangalore,Delhivery,AIR,821.1,,7.75,6776.26,Yes
SHIP100455,Kolkata,Mumbai,DTDC,AIR,298.2,22.33,4.35,2995.7,Yes
SHIP100199,Bangalore,Pune,Delhivery,Road,716.0,23.71,7.0,6061.41,Yes
SHIP100344,Mumbai,Pune,BlueDart,road,510.9,51.22,5.81,5590.12,Yes
SHIP100121,Kolkata,Bangalore,XpressBees,road,596.8,53.41,6.82,6450.1,Yes
SHIP100470,bangalore,Kolkata,Delhivery,Road,196.9,358.01,2.12,6288.41,Yes
SHIP100435,Mumbai,Mumbai,Ekart,road,492.9,54.43,3.77,5007.31,Yes
SHIP100307,Delhi,Hyderabad,DTDC,Road,314.7,3.85,4.47,2543.28,Yes
SHIP100463,Chennai,bangalore,Delhivery,road,485.0,35.93,5.6,5298.09,Yes
SHIP100158,Kolkata,Mumbai,DTDC,road,234.7,68.17,2.6,3221.58,Yes
SHIP100085,Chennai,Bangalore,Delhivery,Road,483.2,87.06,5.71,,Yes
SHIP100225,Kolkata,PUNE,Ekart,road,163.0,82.38,2.4,2823.26,Yes
SHIP100262,Bangalore,Kolkata,BlueDart,Air,502.8,107.72,4.34,5553.63,Yes
SHIP100331,bangalore,Mumbai,XpressBees,Road,704.2,24.52,8.91,5339.16,No
SHIP100403,Delhi,mumbai,DTDC,Rail,602.5,66.12,6.87,5006.27,Yes
SHIP100076,Hyderabad,Mumbai,DTDC,Road,684.3,41.32,8.32,6939.55,Yes
SHIP100438,PUNE,Mumbai,XpressBees,Air,484.1,85.25,6.11,4990.11,Yes
SHIP100376,PUNE,Bangalore,DTDC,Road,366.4,87.59,4.55,,Yes
SHIP100087,Mumbai,Delhi,Ekart,road,275.1,134.76,5.36,4711.05,No
SHIP100031,Pune,Kolkata,Ekart,Road,450.5,156.67,3.97,7046.45,Yes
SHIP100182,Mumbai,bangalore,BlueDart,road,348.4,292.89,3.82,7657.61,Yes
SHIP100105,Delhi,Hyderabad,BlueDart,Road,617.0,216.58,7.27,7550.25,Yes
SHIP100401,Mumbai,Mumbai,BlueDart,Road,428.3,,5.85,6157.0,Yes
SHIP100049,Chennai,Delhi,Ekart,Road,483.0,197.88,5.67,6431.33,Yes
SHIP100417,Kolkata,Delhi,BlueDart,Road,595.5,51.75,7.5,6357.94,Yes
SHIP100005,Kolkata,,Ekart,road,213.9,82.16,3.8,3371.62,Yes
SHIP100017,Chennai,Delhi,DTDC,Road,424.1,64.37,5.48,4829.93,Yes
SHIP100234,Delhi,bangalore,Delhivery,Rail,341.6,8.39,5.64,2522.64,Yes
SHIP100405,bangalore,Chennai,XpressBees,road,433.7,20.42,5.27,3619.59,Yes
SHIP100399,Chennai,bangalore,Delhivery,Rail,274.6,174.59,5.06,4455.86,Yes
SHIP100106,Pune,Kolkata,DTDC,Road,460.3,41.02,5.12,4471.01,Yes
SHIP100134,mumbai,Kolkata,BlueDart,Road,521.9,86.38,38.82,5606.56,No
SHIP100406,Pune,Hyderabad,BlueDart,Air,509.8,75.9,5.86,5162.73,Yes
SHIP100226,Pune,Chennai,DTDC,Road,542.4,142.53,5.08,7402.51,Yes
SHIP100214,Hyderabad,bangalore,DTDC,Air,383.0,16.42,6.15,2911.39,Yes
SHIP100190,PUNE,Mumbai,DTDC,Road,590.1,92.71,7.9,5908.49,Yes
SHIP100445,mumbai,bangalore,Delhivery,Rail,697.3,66.59,6.29,5892.12,Yes
SHIP100320,Bangalore,Kolkata,Delhivery,Road,537.3,113.61,4.33,6187.18,Yes
SHIP100282,Bangalore,mumbai,Delhivery,AIR,528.6,60.82,5.35,5580.31,Yes
SHIP100029,PUNE,Kolkata,BlueDart,road,480.7,30.51,4.15,4416.25,Yes
SHIP100169,mumbai,Kolkata,XpressBees,road,371.3,23.72,5.34,2958.38,Yes
SHIP100180,bangalore,mumbai,BlueDart,road,350.7,13.53,5.79,3569.99,Yes
SHIP100100,mumbai,Delhi,BlueDart,Road,689.1,101.39,7.53,7763.88,Yes
SHIP100197,PUNE,Delhi,XpressBees,Road,622.0,41.46,6.31,6130.94,Yes
SHIP100209,Pune,PUNE,Ekart,Rail,783.7,7.11,,5848.02,No
SHIP100135,Kolkata,Chennai,XpressBees,Road,332.8,28.89,3.97,2865.68,Yes
SHIP100475,Chennai,Chennai,DTDC,Rail,187.6,30.82,4.4,2014.35,Yes
SHIP100433,Pune,Mumbai,Delhivery,Air,659.1,74.17,7.15,7559.84,Yes
SHIP100198,mumbai,mumbai,BlueDart,AIR,465.9,98.42,4.01,5981.19,Yes
SHIP100373,Pune,Mumbai,Ekart,Rail,508.4,31.47,7.1,4561.71,Yes
SHIP100166,Kolkata,Delhi,Ekart,road,428.2,156.78,4.17,5882.13,Yes
SHIP100388,Delhi,mumbai,XpressBees,road,542.5,263.1,5.55,8883.95,Yes
SHIP100136,Hyderabad,mumbai,Ekart,Road,354.8,144.19,4.37,5779.01,Yes
SHIP100285,Chennai,Pune,XpressBees,road,268.2,60.39,4.4,2894.59,Yes
SHIP100335,Pune,Bangalore,Ekart,AIR,527.1,78.46,7.35,4705.14,Yes
SHIP100131,bangalore,Delhi,Ekart,Air,661.2,4.67,5.55,5642.01,Yes
SHIP100039,PUNE,Mumbai,Delhivery,AIR,409.5,52.36,5.7,4383.2,Yes
SHIP100215,Mumbai,Kolkata,DTDC,road,646.0,108.49,7.19,6622.74,Yes
SHIP100043,Hyderabad,Kolkata,DTDC,Road,586.6,52.66,8.33,5431.17,No
SHIP100054,Chennai,Bangalore,XpressBees,AIR,665.4,83.9,7.2,5861.16,Yes
SHIP100479,Hyderabad,Delhi,Delhivery,Rail,691.3,85.25,7.04,6206.28,Yes
SHIP100299,Hyderabad,Hyderabad,BlueDart,Road,404.6,97.95,4.17,4662.66,Yes
SHIP100460,bangalore,Hyderabad,XpressBees,Road,457.8,67.04,5.85,5204.98,Yes
SHIP100304,Pune,Hyderabad,Delhivery,Road,417.5,20.41,4.16,4303.81,Yes
SHIP100035,Delhi,mumbai,BlueDart,Road,182.7,119.38,3.75,3562.56,Yes
SHIP100315,Kolkata,mumbai,Delhivery,road,644.4,192.84,8.33,,Yes
SHIP100309,Mumbai,Kolkata,Ekart,Road,656.7,68.73,,7235.52,Yes
SHIP100276,Mumbai,PUNE,Ekart,Road,481.8,49.89,5.27,5284.87,Yes
SHIP100124,Mumbai,Mumbai,,Road,419.9,110.81,6.37,5321.65,Yes
SHIP100142,Hyderabad,Mumbai,Ekart,Road,493.3,66.18,4.81,5632.24,Yes
SHIP100110,Mumbai,Delhi,XpressBees,road,546.9,34.72,5.22,4582.32,Yes
SHIP100323,Kolkata,Bangalore,Delhivery,Rail,635.4,,5.79,6823.8,Yes
SHIP100332,Kolkata,Delhi,BlueDart,Air,435.7,163.37,,5402.64,Yes
SHIP100393,Kolkata,Delhi,Delhivery,Air,649.7,218.57,6.76,8526.06,Yes
SHIP100441,mumbai,Delhi,Delhivery,Air,572.0,110.88,5.39,5920.0,Yes
SHIP100107,Chennai,Chennai,DTDC,Road,498.3,32.5,4.16,4165.86,Yes
SHIP100465,Kolkata,PUNE,DTDC,road,212.4,87.38,3.57,2675.46,Yes
SHIP100012,Chennai,bangalore,Delhivery,AIR,437.3,125.33,5.65,4652.13,Yes
SHIP100272,Chennai,Mumbai,XpressBees,Air,267.2,198.19,3.99,5639.69,Yes
SHIP100047,PUNE,mumbai,DTDC,Road,520.5,136.34,5.17,7344.28,Yes
SHIP100203,Bangalore,Bangalore,Delhivery,Road,114.0,69.6,1.41,2003.2,Yes
SHIP100430,PUNE,Chennai,DTDC,Road,431.2,66.52,5.71,4355.21,Yes
SHIP100119,Hyderabad,Hyderabad,Ekart,Rail,400.2,60.6,5.25,3899.99,Yes
SHIP100021,Mumbai,Delhi,Delhivery,road,669.4,43.48,6.59,5552.5,Yes
SHIP100402,bangalore,Delhi,DTDC,Air,400.2,54.48,3.21,4819.1,Yes
SHIP100083,Mumbai,Bangalore,BlueDart,Rail,474.6,83.85,6.71,5294.57,Yes
SHIP100130,PUNE,Pune,XpressBees,Rail,569.3,61.82,5.69,5778.33,Yes
SHIP100449,Pune,Pune,XpressBees,road,686.7,48.92,6.0,5970.45,Yes
SHIP100485,Pune,PUNE,DTDC,road,314.6,102.88,4.94,3558.35,Yes
SHIP100329,Hyderabad,Delhi,DTDC,Road,257.8,55.62,3.51,2559.51,Yes
SHIP100229,Hyderabad,Bangalore,DTDC,Road,20.0,71.26,1.22,1362.28,Yes
SHIP100498,Hyderabad,mumbai,Ekart,Air,165.4,116.52,1.98,3643.54,Yes
SHIP100286,mumbai,bangalore,Delhivery,Air,561.4,59.41,6.6,5437.44,Yes
SHIP100123,bangalore,Hyderabad,Delhivery,road,345.0,,5.65,3890.55,Yes
SHIP100033,Pune,Pune,XpressBees,Air,664.3,218.68,5.76,8645.54,Yes
SHIP100477,Hyderabad,Chennai,Delhivery,Rail,314.6,62.77,4.99,3727.44,Yes
SHIP100004,bangalore,Hyderabad,Ekart,Road,451.9,246.75,6.27,7944.72,Yes
SHIP100411,Hyderabad,Chennai,,Air,403.3,59.75,6.09,3571.96,Yes
SHIP100019,mumbai,Hyderabad,XpressBees,Road,558.0,106.89,6.52,6091.6,Yes
SHIP100219,Chennai,PUNE,DTDC,road,248.5,63.23,4.02,3256.16,Yes
SHIP100379,Pune,Pune,DTDC,Road,403.4,186.95,4.98,6896.95,Yes
SHIP100067,Chennai,Pune,BlueDart,Rail,637.2,40.64,7.67,6340.53,Yes
SHIP100419,bangalore,Delhi,BlueDart,Road,780.9,77.68,,7707.96,Yes
SHIP100356,Kolkata,Chennai,BlueDart,road,270.1,,2.03,4175.48,Yes
SHIP100149,Hyderabad,Mumbai,DTDC,AIR,571.2,101.5,7.95,6724.19,No
SHIP100224,bangalore,Mumbai,Ekart,Air,366.1,85.83,4.18,4348.37,Yes
SHIP100247,Chennai,Pune,BlueDart,Rail,305.4,39.3,,2709.66,No
SHIP100446,Pune,Pune,DTDC,road,425.3,120.86,4.54,5888.14,Yes
SHIP100151,bangalore,mumbai,Delhivery,Air,229.6,58.45,2.94,3097.79,Yes
SHIP100484,Chennai,PUNE,XpressBees,Road,488.4,94.59,6.62,4544.75,Yes
SHIP100317,Chennai,Chennai,XpressBees,Rail,680.6,,9.31,,No
SHIP100291,Pune,Bangalore,DTDC,Air,697.5,151.96,6.37,9006.62,Yes
SHIP100233,Mumbai,Hyderabad,DTDC,Road,367.7,68.18,5.06,3637.47,Yes
SHIP100010,PUNE,Pune,BlueDart,Road,460.2,204.12,5.63,5780.81,Yes
SHIP100279,bangalore,Kolkata,BlueDart,Air,465.5,200.32,5.59,7188.0,Yes
SHIP100071,Delhi,Kolkata,BlueDart,Rail,362.2,91.55,3.49,4856.25,Yes
SHIP100252,Bangalore,Kolkata,Ekart,Road,20.0,157.76,1.85,2578.28,Yes
SHIP100092,Delhi,Pune,BlueDart,Road,663.4,65.24,7.98,,Yes
SHIP100483,Hyderabad,Pune,Delhivery,AIR,570.8,57.31,37.11,4994.89,No
SHIP100349,mumbai,Bangalore,Delhivery,Road,655.2,77.32,8.0,6215.94,Yes
SHIP100415,Delhi,Delhi,Ekart,road,645.5,29.11,5.79,5993.1,Yes
SHIP100374,bangalore,Mumbai,XpressBees,road,237.8,58.16,3.81,3181.24,Yes
SHIP100400,Delhi,Pune,Delhivery,AIR,649.3,36.25,6.81,6137.33,Yes
SHIP100192,Chennai,Delhi,Ekart,Rail,302.7,122.14,4.88,3821.84,Yes
SHIP100257,Pune,Delhi,DTDC,Road,542.9,226.75,5.46,6952.26,Yes
SHIP100488,PUNE,PUNE,BlueDart,road,643.7,13.26,6.52,4559.41,Yes
SHIP100339,Kolkata,Chennai,Delhivery,Road,916.1,72.85,11.24,7460.24,No
SHIP100495,Mumbai,Kolkata,BlueDart,Air,164.9,84.67,0.5,2839.9,Yes
SHIP100195,Chennai,bangalore,XpressBees,Air,368.4,128.87,5.3,5751.73,Yes
SHIP100343,PUNE,Pune,BlueDart,Road,386.4,194.39,5.02,6226.42,Yes
SHIP100137,Delhi,Delhi,DTDC,Road,555.5,159.77,5.46,6023.29,Yes
SHIP100260,mumbai,mumbai,DTDC,road,593.0,137.84,6.87,6403.46,Yes
SHIP100038,mumbai,Kolkata,BlueDart,Rail,204.0,41.04,5.08,2562.98,No
SHIP100201,Mumbai,Bangalore,Ekart,Road,415.1,58.71,6.53,,No
SHIP100472,Kolkata,Bangalore,DTDC,Air,179.2,134.24,3.74,3922.23,Yes
SHIP100290,Delhi,Kolkata,Delhivery,Road,417.1,8.81,5.09,3503.11,Yes
SHIP100448,Mumbai,Bangalore,DTDC,Air,740.2,52.98,6.8,7472.69,Yes
SHIP100189,bangalore,mumbai,BlueDart,Rail,556.7,27.29,7.48,4742.39,Yes
SHIP100251,PUNE,mumbai,XpressBees,Road,315.5,222.25,4.08,5652.42,Yes
SHIP100112,Delhi,Kolkata,DTDC,Road,384.3,5.46,5.75,3061.61,Yes
SHIP100437,Delhi,Mumbai,Ekart,Road,540.2,76.99,4.22,4686.9,Yes
SHIP100183,Mumbai,Kolkata,Delhivery,AIR,483.2,75.64,4.94,5441.5,Yes
SHIP100152,Bangalore,Hyderabad,Ekart,Road,412.4,55.45,4.72,4936.29,Yes
SHIP100312,Hyderabad,mumbai,XpressBees,Air,615.5,73.93,8.67,5867.16,No
SHIP100325,Kolkata,Kolkata,XpressBees,road,377.3,184.1,5.15,5500.0,Yes
SHIP100191,bangalore,Bangalore,Delhivery,road,350.8,333.66,3.94,7699.42,Yes
SHIP100044,Kolkata,Hyderabad,Delhivery,AIR,346.2,34.61,4.76,3708.55,Yes
SHIP100444,Chennai,Pune,DTDC,Road,542.0,123.83,5.35,7289.22,Yes
SHIP100275,Mumbai,Pune,BlueDart,Air,574.8,48.67,5.01,5118.16,Yes
SHIP100006,Pune,Pune,Ekart,Road,258.3,63.12,3.88,3526.81,Yes
SHIP100250,Chennai,Delhi,Delhivery,Road,1952.9,128.09,16.74,16041.39,Yes
SHIP100311,mumbai,Hyderabad,Ekart,Air,191.1,53.65,3.0,,Yes
SHIP100075,Kolkata,bangalore,DTDC,Air,503.9,210.54,5.76,7668.65,Yes
SHIP100000,bangalore,Hyderabad,BlueDart,Road,445.5,83.56,5.35,4666.9,Yes
SHIP100428,PUNE,Chennai,Delhivery,Rail,621.1,101.22,3.91,6036.85,Yes
SHIP100391,Delhi,PUNE,DTDC,Road,538.1,100.68,5.08,6930.64,Yes
SHIP100383,Kolkata,Chennai,BlueDart,Road,207.7,133.28,3.23,3601.48,Yes
SHIP100432,Kolkata,Bangalore,Delhivery,AIR,462.6,28.74,6.82,3683.14,Yes
SHIP100068,bangalore,bangalore,Ekart,Road,341.0,40.02,5.25,3791.15,Yes
SHIP100486,Mumbai,Kolkata,BlueDart,Road,392.6,47.45,5.84,3781.25,Yes
SHIP100167,PUNE,Delhi,,Air,525.5,46.15,5.79,5295.83,Yes
SHIP100392,Mumbai,Mumbai,Ekart,Road,564.2,116.29,6.94,5729.08,Yes
SHIP100218,mumbai,Delhi,DTDC,Road,362.0,80.13,4.47,4670.51,Yes
SHIP100042,Kolkata,Chennai,Delhivery,Road,547.5,50.49,6.58,4579.07,Yes
SHIP100366,Chennai,Kolkata,DTDC,AIR,669.1,29.28,8.05,5679.21,Yes
SHIP100345,Chennai,Chennai,DTDC,Rail,396.8,141.05,6.15,5783.54,Yes
SHIP100072,mumbai,PUNE,BlueDart,Road,838.3,,9.73,7895.33,Yes
SHIP100023,Bangalore,Delhi,BlueDart,Rail,718.3,85.86,9.05,8038.72,No
SHIP100398,Hyderabad,Bangalore,DTDC,Air,426.1,148.42,4.84,6029.59,Yes
SHIP100185,mumbai,mumbai,XpressBees,Road,811.1,54.43,8.04,7515.96,Yes
SHIP100348,mumbai,Chennai,Ekart,road,268.8,65.54,4.96,3596.86,Yes
SHIP100103,bangalore,Pune,XpressBees,Road,839.7,67.09,8.45,7111.81,Yes
SHIP100407,Kolkata,mumbai,BlueDart,AIR,484.3,46.17,5.66,4269.09,Yes
SHIP100211,PUNE,Bangalore,Delhivery,road,554.8,94.57,5.98,6175.24,Yes
SHIP100067,Chennai,Pune,BlueDart,Rail,637.2,40.64,7.67,6340.53,Yes
SHIP100047,PUNE,mumbai,DTDC,Road,520.5,136.34,5.17,7344.28,Yes
SHIP100025,Mumbai,Hyderabad,DTDC,AIR,389.3,28.82,4.03,3032.69,Yes
SHIP100196,Delhi,Delhi,Delhivery,Road,575.3,98.61,5.68,6217.8,Yes
SHIP100175,Mumbai,Pune,XpressBees,Air,617.9,272.52,7.32,9355.69,Yes
